DATE,NUMBER,CUSTOMER,CODE,DESCRIPTION,QTY,CUS NO
2022-09-06,CRM#1419,WASANA ELECTRICALS-CHA,V15B-SWSW,3W STAIRWAY WITH SENSER WARM - BLACK,8,166
2022-09-13,CRM#1420,MULITY ELECTRICALS - KADURUWELA - CHA,2W-SANK,SUNK BOX  - 2-WAY,147,139
2022-09-13,CRM#1420,MULITY ELECTRICALS - KADURUWELA - CHA,4W-SANK,SUNK BOX  - 4-WAY,187,139
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15G-2G1W,2 GANG 1 WAY GOLD,1,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15G-1G1W,1 GANG 1 WAY GOLD,1,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15G-20NS,20A SWITCH WITH NEON GOLD,1,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15W-2G1W,2 GANG 1 WAY  PEARL,5,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15W-3G1W,3 GANG 1 WAY PEARL,5,207
2022-09-15,CRM#1422,RANGA ELECTRICALS-SHA,V15W-13NSC,13A SWITCHED SOCKET WITH NEON SP PEARL,1,43
2022-09-15,CRM#1422,RANGA ELECTRICALS-SHA,V15W-1G1W,1 GANG 1 WAY  PEARL,1,43
2022-09-15,CRM#1422,RANGA ELECTRICALS-SHA,V15B-13USC,13A SWITCHED SOCKET WITH NEON +USB BLACK,1,43
2022-09-15,CRM#1423,A.K SHADES ELECTRICALS-KUS,V15B-4G1W,4 GANG 1 WAY BLACK,2,171
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-20NS,20A SWITCH WITH NEON PEARL,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-TPSC,TELEPHONE SOCKET PEARL,3,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-FCS,FAN SPEED 500W PEARL,5,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-LDS,LIGHT DIMMER 500W PEARL,9,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-3G1W,3 GANG 1 WAY PEARL,3,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-2G1W,2 GANG 1 WAY  PEARL,5,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-DBS,DOORBELL SWITCH PEARL,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-4G1W,4 GANG 1 WAY PEARL,4,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-13NSC,13A SWITCHED SOCKET WITH NEON SP PEARL,2,226
