STOCK BALANCE DETAILS AS AT 31-03-2023,,,,,,,
#,Product,Code,Category,quanity,Unit Price,New Price,
107,3W STAIRWAY BRUSHED WARM - PEARL,V15W-SWWL,V15 modular series,24,0.00,1770.00,
108,TOUCH DELAY SWITCH PEARL,V15W-TDS,V15 modular series,100,0.00,2790.00,
109,TELEPHONE + COMPUTER SOCKET - PEARL,V15W-TPCOM,V15 modular series,366,0.00,2330.00,
110,TELEPHONE SOCKET PEARL,V15W-TPSC,V15 modular series,619,0.00,1960.00,
111,TV SOCKET PEARL,V15W-TVSC,V15 modular series,581,0.00,1960.00,
112,VOICE COTROL SWITCH PEARL,V15W-VCS,V15 modular series,87,0.00,2890.00,
113,BACK PC PART,1000,RM,0,0.00,0.00,
114,SCREWS,1001,RM,0,0.00,0.00,
115,LIVE SWITCH COPPER PART,1002,RM,0,0.00,0.00,
116,COPPER SWITCH PART,1003,RM,0,0.00,0.00,
117,LIVE COPPER PART,1004,RM,0,0.00,0.00,
118,NEUTRAL COPPER PART,1005,RM,0,0.00,0.00,
119,BRASS EARTH PART,1006,RM,0,0.00,0.00,
120,FRONT PC PART,1007,RM,0,0.00,0.00,
121,SWTICH PC PART - PEARL,1008,RM,0,0.00,0.00,
122,SWITCH PC  PART  - GOLD,1009,RM,0,0.00,0.00,
123,NEON LAMP PART,1010,RM,0,0.00,0.00,
124,SHUTTER,1011,RM,0,0.00,0.00,
125,SHUTTER SPRING,1012,RM,0,0.00,0.00,
126,PUSH BUTTON,1013,RM,0,0.00,0.00,
127,PUSH BUTTON SPRING,1014,RM,0,0.00,0.00,
128,V-7 PLATE,1015,RM,0,0.00,0.00,
129,NEON COVER,1016,RM,0,0.00,0.00,
130,COVER PLATE - GOLD,1017,RM,0,0.00,0.00,
131,COVER PLATE - PEARL,1018,RM,0,0.00,0.00,
132,FIXING SCREWS,1019,RM,0,0.00,0.00,
133,SANK BOX  - 2-WAY,2W-SANK-,SANK BOX,"43,167",0.00,160.00,
134,SANK BOX  - 4-WAY,4W-SANK-,SANK BOX,543,0.00,160.00,
